turn, fish, shark
1368, 7407, 2758
1369, 7410, 2611
1370, 7418, 2629
1371, 7449, 2668
1372, 7486, 2586
1373, 7583, 2462
1374, 7641, 2718
1375, 7678, 2657
1376, 7695, 2631
1377, 7752, 2523
1378, 7830, 2549
1379, 7820, 2457
1380, 7949, 2406
1381, 8070, 2520
1382, 8066, 2667
1383, 7998, 2798
1384, 7947, 2595
1385, 7888, 2662
1386, 7824, 2705
1387, 7806, 2623
1388, 7867, 2521
1389, 7888, 2776
1390, 7802, 2730
1391, 7776, 2731
1392, 7743, 2680
1393, 7713, 2804
1394, 7598, 2746
1395, 7597, 2671
1396, 7551, 2780
1397, 7368, 3004
1398, 7094, 3193
1399, 6929, 3054
1400, 6818, 3159
1401, 6675, 3206
1402, 6551, 3148
1403, 6543, 3042
1404, 6502, 3371
1405, 6337, 3318
1406, 6308, 3345
1407, 6165, 3308
1408, 6018, 3465
1409, 5866, 3384
1410, 5802, 3266
1411, 5776, 3371
1412, 5613, 3662
1413, 5349, 3835
1414, 5132, 3638
1415, 5028, 3683
1416, 4940, 3655
1417, 4893, 3501
1418, 4850, 3292
1419, 4816, 3594
1420, 4674, 3489
1421, 4618, 3454
1422, 4524, 3297
1423, 4410, 3358
1424, 4334, 3234
1425, 4370, 3065
1426, 4379, 3126
1427, 4329, 3346
1428, 4210, 3463
1429, 4136, 3180
1430, 4120, 3177
1431, 4112, 3107
1432, 4075, 2938
1433, 4084, 2645
1434, 4117, 2866
1435, 4071, 2768
1436, 4076, 2735
1437, 4091, 2592
1438, 4130, 2619
1439, 4134, 2535
1440, 4224, 2423
1441, 4297, 2476
1442, 4319, 2635
1443, 4199, 2733
1444, 4202, 2544
1445, 4218, 2561
1446, 4229, 2531
1447, 4278, 2436
1448, 4370, 2273
1449, 4437, 2514
1450, 4401, 2442
1451, 4463, 2434
1452, 4456, 2334
1453, 4472, 2328
1454, 4536, 2247
1455, 4662, 2156
1456, 4753, 2233
1457, 4853, 2382
1458, 4879, 2491
1459, 4939, 2292
1460, 5030, 2304
1461, 5121, 2258
1462, 5263, 2140
1463, 5464, 1969
1464, 5609, 2175
1465, 5691, 2124
1466, 5851, 2123
1467, 5993, 2001
1468, 6125, 1921
1469, 6280, 1859
1470, 6479, 1789
1471, 6610, 1867
1472, 6738, 1996
1473, 6808, 2147
1474, 6878, 2013
1475, 6989, 2066
1476, 7074, 2066
1477, 7132, 2008
1478, 7232, 1952
1479, 7264, 2214
1480, 7252, 2178
1481, 7288, 2246
1482, 7301, 2182
1483, 7371, 2183
1484, 7420, 2125
1485, 7510, 2066
1486, 7608, 2169
1487, 7599, 2303
1488, 7574, 2453
1489, 7593, 2300
1490, 7603, 2335
1491, 7595, 2304
1492, 7685, 2226
1493, 7746, 2146
1494, 7814, 2367
1495, 7826, 2280
1496, 7859, 2269
1497, 7832, 2141
1498, 7869, 2089
1499, 7886, 2017
